iter	RMSE
0	238.0751587
1	231.9390983
2	226.0817911
3	220.3167976
4	214.8513381
5	209.4913907
6	204.3217667
7	199.3061783
8	194.4836942
9	189.791186
10	185.1796662
11	180.7876907
12	176.5266954
13	172.543042
14	168.5661356
15	164.7103779
16	161.0160705
17	157.4103251
18	153.9237921
19	150.5976655
20	147.4474036
21	144.3300246
22	141.33234
23	138.4996731
24	135.7331107
25	133.0373396
26	130.4504425
27	127.9003437
28	125.4662193
29	123.131027
30	120.893406
31	118.7501309
32	116.7580968
33	114.7359984
34	112.7785063
35	110.9223562
36	109.1753373
37	107.5121761
38	105.8989887
39	104.3363401
40	102.8293085
41	101.4094398
42	100.04475
43	98.68950117
44	97.43528392
45	96.19835148
46	95.03110447
47	93.95427766
48	92.882912
49	91.85812655
50	90.8797476
51	89.94473684
52	89.04359495
53	88.19260972
54	87.39398452
55	86.6081904
56	85.87698718
57	85.15973097
58	84.46791589
59	83.83206418
60	83.21285188
61	82.62364962
62	82.07477211
63	81.54288005
64	81.01576379
65	80.53384671
66	80.06670449
67	79.63793442
68	79.21788817
69	78.81742934
70	78.43804454
71	78.06254068
72	77.7031749
73	77.37213156
74	77.0603966
75	76.75354334
76	76.46364026
77	76.17747775
78	75.91178063
79	75.65298059
80	75.42248789
81	75.19373347
82	74.96338162
83	74.72819154
84	74.5295369
85	74.33819293
86	74.14392437
87	73.97089508
88	73.8120138
89	73.65568617
90	73.50683914
91	73.35838254
92	73.21590607
93	73.07934507
94	72.9545466
95	72.83631647
96	72.7208423
97	72.61850104
98	72.50213251
99	72.39160254
100	72.29210251
101	72.19822984
102	72.10612968
103	72.00578348
104	71.92145364
105	71.83156861
106	71.7403145
107	71.66048422
108	71.57717142
109	71.50630044
110	71.42856101
111	71.35236818
112	71.28717361
113	71.22215442
114	71.16297866
115	71.10043633
116	71.04203306
117	70.99013938
118	70.92835369
119	70.868788
120	70.81722592
121	70.76340511
122	70.70740318
123	70.65755157
124	70.60354945
125	70.55850853
126	70.51453654
127	70.46251556
128	70.40866077
129	70.3661667
130	70.32653406
131	70.28714013
132	70.24338147
133	70.19721046
134	70.15792224
135	70.11184913
136	70.07606114
137	70.03157876
138	69.99543292
139	69.95362123
140	69.9215778
141	69.88610406
142	69.85000163
143	69.81060376
144	69.77185235
145	69.73270616
146	69.69978237
147	69.66501055
148	69.63147033
149	69.60476674
150	69.56776255
151	69.53013396
152	69.49524581
153	69.4654652
154	69.43293381
155	69.41039342
156	69.38426172
157	69.35336216
158	69.32280804
159	69.29460981
160	69.2727247
161	69.24338206
162	69.22257684
163	69.19514657
164	69.17303255
165	69.14738465
166	69.1196677
167	69.09231223
168	69.06593088
169	69.04451722
170	69.02113998
171	69.00384376
172	68.97810287
173	68.95507207
174	68.93008796
175	68.90511604
176	68.88061713
177	68.85714885
178	68.83729078
179	68.8124182
180	68.79231893
181	68.77236963
182	68.74848937
183	68.71959096
184	68.69887933
185	68.68223086
186	68.65574026
187	68.63965872
188	68.62328452
189	68.60871668
190	68.58772526
191	68.55703239
192	68.53447745
193	68.51922836
194	68.4902278
195	68.46774707
196	68.43966025
197	68.41124713
198	68.39074669
199	68.37546783
200	68.35423565
201	68.32845872
202	68.29791773
203	68.28514361
204	68.26819072
205	68.24905437
206	68.23126417
207	68.22344989
208	68.19290823
209	68.16935118
210	68.14659262
211	68.13121026
212	68.10904895
213	68.08936493
214	68.06777111
215	68.05071332
216	68.02341877
217	68.00187808
218	67.97829146
219	67.95884916
220	67.93771398
221	67.9194958
222	67.90168759
223	67.87364974
224	67.85587775
225	67.84086615
226	67.82354189
227	67.80839948
228	67.78604842
229	67.76512815
230	67.7486504
231	67.73456323
232	67.71868134
233	67.69029056
234	67.67352286
235	67.65599354
236	67.64535021
237	67.62322613
238	67.60579191
239	67.59143262
240	67.57645355
241	67.56086946
242	67.545406
243	67.5333697
244	67.5149986
245	67.49971274
246	67.48224618
247	67.46872365
248	67.44877792
249	67.43035537
250	67.41423524
251	67.3946126
252	67.38264018
253	67.35973747
254	67.33313127
255	67.31859632
256	67.3055861
257	67.28436705
258	67.26896587
259	67.25296905
260	67.23605686
261	67.21732782
262	67.20679503
263	67.19220137
264	67.18083113
265	67.16457797
266	67.14282568
267	67.12800179
268	67.10932731
269	67.08874487
270	67.07302255
271	67.05816337
272	67.04351468
273	67.03338525
274	67.023697
275	67.00752781
276	66.99151916
277	66.97984662
278	66.96402386
279	66.9504005
280	66.93893069
281	66.91858338
282	66.91054326
283	66.89660807
284	66.88217577
285	66.8629781
286	66.84905388
287	66.82924902
288	66.80766781
289	66.79022252
290	66.77667048
291	66.75113699
292	66.73547903
293	66.71192702
294	66.69818187
295	66.68326521
296	66.67420666
297	66.65662154
298	66.63934861
299	66.62492537
300	66.60607352
301	66.58434147
302	66.57223058
303	66.55799452
304	66.54398646
305	66.52624331
306	66.51396304
307	66.49910697
308	66.48604615
309	66.47370691
310	66.45574282
311	66.43807932
312	66.41026044
313	66.39300299
314	66.3797412
315	66.35969709
316	66.34414482
317	66.33105139
318	66.31219667
319	66.29526753
320	66.2826442
321	66.26153532
322	66.25003001
323	66.22810214
324	66.2153083
325	66.20106024
326	66.18890915
327	66.17550326
328	66.16156244
329	66.13765922
330	66.12603009
331	66.11211975
332	66.09161651
333	66.07710541
334	66.06277902
335	66.04848834
336	66.0306979
337	66.01721006
338	66.00467684
339	65.98980232
340	65.97917754
341	65.9635307
342	65.94859522
343	65.93607998
344	65.92213684
345	65.90117041
346	65.88799914
347	65.87573817
348	65.8638724
349	65.84699483
350	65.82197465
351	65.80402426
352	65.78949709
353	65.77392605
354	65.75946748
355	65.74696091
356	65.73209364
357	65.71232838
358	65.70035366
359	65.68445827
360	65.66643179
361	65.64612344
362	65.63190631
363	65.61469518
364	65.596025
365	65.58209516
366	65.56485492
367	65.55408874
368	65.53791787
369	65.52546821
370	65.50218706
371	65.48854172
372	65.46786844
373	65.45541475
374	65.43622352
375	65.42325653
376	65.41240645
377	65.39800076
378	65.37684173
379	65.36257105
380	65.34653639
381	65.32878088
382	65.30863786
383	65.29358522
384	65.28184982
385	65.26221812
386	65.24338504
387	65.22769284
388	65.20899854
389	65.19937182
390	65.18800473
391	65.16333888
392	65.14910679
393	65.13447507
394	65.11940161
395	65.10294809
396	65.08514103
397	65.06136179
398	65.04523541
399	65.03083043
400	65.01741425
401	65.00280265
402	64.98958057
403	64.96647782
404	64.95296351
405	64.94030717
406	64.92602091
407	64.9050164
408	64.89062006
409	64.87856205
410	64.86406431
411	64.85210373
412	64.83849997
413	64.82068296
414	64.80535167
415	64.79283601
416	64.77780319
417	64.76301934
418	64.75013111
419	64.7353544
420	64.72513353
421	64.70516694
422	64.68795095
423	64.66822777
424	64.65584729
425	64.63647391
426	64.62331647
427	64.60154152
428	64.5852411
429	64.56657324
430	64.55461973
431	64.5438056
432	64.52871424
433	64.5131676
434	64.49793456
435	64.48037827
436	64.46557681
437	64.45328528
438	64.43720497
439	64.42462658
440	64.40981703
441	64.39158834
442	64.37823875
443	64.36733592
444	64.356733
445	64.34158772
446	64.32888837
447	64.31808274
448	64.30660364
449	64.2931652
450	64.2764007
451	64.26564605
452	64.24583285
453	64.23259153
454	64.221364
455	64.21011361
456	64.19676287
457	64.18149586
458	64.16466002
459	64.15274353
460	64.13469717
461	64.12015591
462	64.10352409
463	64.08411387
464	64.07021205
465	64.05769183
466	64.04361954
467	64.03378462
468	64.02349297
469	64.00927273
470	63.99905434
471	63.97994736
472	63.96772505
473	63.95699339
474	63.94234485
475	63.92754993
476	63.91544992
477	63.90051862
478	63.88935007
479	63.87195563
480	63.85035893
481	63.83653926
482	63.82617843
483	63.81470999
484	63.79863865
485	63.78149016
486	63.76883138
487	63.75969273
488	63.7461544
489	63.73540655
490	63.71706468
491	63.70644263
492	63.69424506
493	63.67808661
494	63.66722075
495	63.65529041
496	63.64055983
497	63.61893205
498	63.60415488
499	63.59066544
500	63.5777058
501	63.56224808
502	63.54578292
503	63.53268292
504	63.51820059
505	63.5012993
506	63.48034489
507	63.4655262
508	63.45284506
509	63.44119108
510	63.43224259
511	63.41500837
512	63.40411727
513	63.38953544
514	63.37463225
515	63.36178756
516	63.34641926
517	63.33311723
518	63.31920391
519	63.30646067
520	63.29458464
